id,track_name,track_release,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,track_rank,genre
2OGXIpzLiNf1aKvoEjnNRR,Forever Means,2023-04-11,Angel Olsen,39,0.352,0.14,7,-11.234,1,0.0351,0.873,0.0,0.115,0.151,73.131,audio_features,spotify:track:2OGXIpzLiNf1aKvoEjnNRR,https://api.spotify.com/v1/tracks/2OGXIpzLiNf1aKvoEjnNRR,https://api.spotify.com/v1/audio-analysis/2OGXIpzLiNf1aKvoEjnNRR,207933,5,29,Indie / Alternative
57pvzrlnUEE2rjspp9G4H9,Christmas Eve,2022-11-25,Rhys Lewis,2,0.583,0.869,3,-5.867,1,0.0489,0.37,2.87e-06,0.18,0.838,147.896,audio_features,spotify:track:57pvzrlnUEE2rjspp9G4H9,https://api.spotify.com/v1/tracks/57pvzrlnUEE2rjspp9G4H9,https://api.spotify.com/v1/audio-analysis/57pvzrlnUEE2rjspp9G4H9,173813,4,30,Pop
5cZ0q2VQzkP0DRuNeyJzB4,Time Bandits,2023-04-14,Angel Olsen,32,0.552,0.345,7,-8.555,1,0.0252,0.663,3.48e-05,0.117,0.179,72.268,audio_features,spotify:track:5cZ0q2VQzkP0DRuNeyJzB4,https://api.spotify.com/v1/tracks/5cZ0q2VQzkP0DRuNeyJzB4,https://api.spotify.com/v1/audio-analysis/5cZ0q2VQzkP0DRuNeyJzB4,234733,4,31,Indie / Alternative
5S4aYQAJOwJMAamANWlICO,exile (feat. Bon Iver),2020-08-18,Taylor Swift,74,0.31,0.374,6,-8.464,1,0.0275,0.761,2.46e-05,0.11,0.16,75.938,audio_features,spotify:track:5S4aYQAJOwJMAamANWlICO,https://api.spotify.com/v1/tracks/5S4aYQAJOwJMAamANWlICO,https://api.spotify.com/v1/audio-analysis/5S4aYQAJOwJMAamANWlICO,285640,4,32,Pop
3PAflYZhStEXU0FY6yN98z,Little Bit,2020-10-09,Karate Boogaloo,48,0.685,0.464,5,-10.622,0,0.0341,0.359,0.0669,0.123,0.895,106.348,audio_features,spotify:track:3PAflYZhStEXU0FY6yN98z,https://api.spotify.com/v1/tracks/3PAflYZhStEXU0FY6yN98z,https://api.spotify.com/v1/audio-analysis/3PAflYZhStEXU0FY6yN98z,259160,4,33,Indie / Alternative
6YArGkJUr82ehzRFa2YaRK,Wake Me,2014-07-14,Bleachers,60,0.818,0.374,1,-10.666,0,0.0459,0.0951,0.0139,0.217,0.457,117.956,audio_features,spotify:track:6YArGkJUr82ehzRFa2YaRK,https://api.spotify.com/v1/tracks/6YArGkJUr82ehzRFa2YaRK,https://api.spotify.com/v1/audio-analysis/6YArGkJUr82ehzRFa2YaRK,163880,4,34,Pop
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,2019-08-23,Taylor Swift,99,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,audio_features,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/audio-analysis/1BxfuPKGuaTgP7aM0Bbdwr,178427,4,35,Pop
4w2tfK0JA8KrVegKnxukf4,The Kids Are Alright,2019-09-06,Barns Courtney,35,0.547,0.771,3,-4.722,1,0.0284,0.0266,1.09e-06,0.0819,0.674,122.036,audio_features,spotify:track:4w2tfK0JA8KrVegKnxukf4,https://api.spotify.com/v1/tracks/4w2tfK0JA8KrVegKnxukf4,https://api.spotify.com/v1/audio-analysis/4w2tfK0JA8KrVegKnxukf4,235773,4,36,Rock
5zqdoQXjMmqb1GyzTKa4E9,Love From The Other Side,2023-03-24,Fall Out Boy,63,0.418,0.895,4,-5.626,0,0.0966,0.000965,0.000475,0.302,0.218,157.803,audio_features,spotify:track:5zqdoQXjMmqb1GyzTKa4E9,https://api.spotify.com/v1/tracks/5zqdoQXjMmqb1GyzTKa4E9,https://api.spotify.com/v1/audio-analysis/5zqdoQXjMmqb1GyzTKa4E9,279737,4,37,emo
6L3VWDPDTQkQFkqvmpAUMU,Something to Believe In,2016-08-12,Young the Giant,61,0.623,0.886,1,-3.044,1,0.0404,0.0245,0.0,0.247,0.709,92.021,audio_features,spotify:track:6L3VWDPDTQkQFkqvmpAUMU,https://api.spotify.com/v1/tracks/6L3VWDPDTQkQFkqvmpAUMU,https://api.spotify.com/v1/audio-analysis/6L3VWDPDTQkQFkqvmpAUMU,228467,4,38,Indie / Alternative
31ABtQJdfloNaGz7ZhXaN5,King,2022-05-13,Florence + The Machine,64,0.731,0.45,6,-8.086,0,0.0443,0.136,0.000989,0.107,0.0856,105.989,audio_features,spotify:track:31ABtQJdfloNaGz7ZhXaN5,https://api.spotify.com/v1/tracks/31ABtQJdfloNaGz7ZhXaN5,https://api.spotify.com/v1/audio-analysis/31ABtQJdfloNaGz7ZhXaN5,280131,4,39,Pop
2V6T1pQX1hqp0ja2hk7DZk,Some Of Us Are Brave,2022-09-16,Danielle Ponder,45,0.501,0.445,9,-9.464,0,0.0519,0.802,0.0206,0.0597,0.254,155.838,audio_features,spotify:track:2V6T1pQX1hqp0ja2hk7DZk,https://api.spotify.com/v1/tracks/2V6T1pQX1hqp0ja2hk7DZk,https://api.spotify.com/v1/audio-analysis/2V6T1pQX1hqp0ja2hk7DZk,233846,4,40,No Genre Data
13dVSpQS1CfBs0DdlKuRVA,Never Say No,2022-10-27,Friday Pilots Club,27,0.443,0.357,2,-8.391,1,0.0326,0.0973,0.00129,0.0769,0.152,90.004,audio_features,spotify:track:13dVSpQS1CfBs0DdlKuRVA,https://api.spotify.com/v1/tracks/13dVSpQS1CfBs0DdlKuRVA,https://api.spotify.com/v1/audio-analysis/13dVSpQS1CfBs0DdlKuRVA,262387,4,41,Rock
3xMQOd1C3TXsjQ3pmzOmkC,Weight of Love,2014-05-09,The Black Keys,61,0.282,0.547,2,-8.621,1,0.0322,0.03,0.888,0.104,0.133,151.468,audio_features,spotify:track:3xMQOd1C3TXsjQ3pmzOmkC,https://api.spotify.com/v1/tracks/3xMQOd1C3TXsjQ3pmzOmkC,https://api.spotify.com/v1/audio-analysis/3xMQOd1C3TXsjQ3pmzOmkC,410187,4,42,Rock
4JaLWmdTChliUG88ks6Prm,New Love Cassette,2019-10-04,Angel Olsen,46,0.62,0.471,9,-9.831,1,0.0291,0.152,0.877,0.079,0.581,79.017,audio_features,spotify:track:4JaLWmdTChliUG88ks6Prm,https://api.spotify.com/v1/tracks/4JaLWmdTChliUG88ks6Prm,https://api.spotify.com/v1/audio-analysis/4JaLWmdTChliUG88ks6Prm,206413,3,43,Indie / Alternative
5FW6ODJAE39dFriqIi2ZwZ,Morning Elvis,2023-04-21,Florence + The Machine,47,0.475,0.341,7,-7.829,1,0.0311,0.846,1.14e-06,0.111,0.235,80.514,audio_features,spotify:track:5FW6ODJAE39dFriqIi2ZwZ,https://api.spotify.com/v1/tracks/5FW6ODJAE39dFriqIi2ZwZ,https://api.spotify.com/v1/audio-analysis/5FW6ODJAE39dFriqIi2ZwZ,262001,4,44,Pop
3q5Zm5NnYcpXKLNmTO1tyo,Astronaut,2017-06-30,Sir Sly,55,0.63,0.589,7,-8.11,1,0.0275,0.0752,0.552,0.32,0.314,112.013,audio_features,spotify:track:3q5Zm5NnYcpXKLNmTO1tyo,https://api.spotify.com/v1/tracks/3q5Zm5NnYcpXKLNmTO1tyo,https://api.spotify.com/v1/audio-analysis/3q5Zm5NnYcpXKLNmTO1tyo,224382,4,45,Indie / Alternative
1K2Hql13Y6fcOSy2Y15qNm,Big Time,2022-06-03,Angel Olsen,47,0.292,0.521,10,-5.309,1,0.0363,0.166,0.00124,0.0959,0.306,203.727,audio_features,spotify:track:1K2Hql13Y6fcOSy2Y15qNm,https://api.spotify.com/v1/tracks/1K2Hql13Y6fcOSy2Y15qNm,https://api.spotify.com/v1/audio-analysis/1K2Hql13Y6fcOSy2Y15qNm,247293,3,46,Indie / Alternative
14NNdJ03Vt6QfrY99FpmE5,Hard To Be Alone,2020-07-10,Barns Courtney,43,0.414,0.476,3,-6.52,1,0.0302,0.91,0.0,0.0863,0.24,94.087,audio_features,spotify:track:14NNdJ03Vt6QfrY99FpmE5,https://api.spotify.com/v1/tracks/14NNdJ03Vt6QfrY99FpmE5,https://api.spotify.com/v1/audio-analysis/14NNdJ03Vt6QfrY99FpmE5,182053,4,47,Rock
3sW3oSbzsfecv9XoUdGs7h,Enchanted (Taylor's Version),2023-07-07,Taylor Swift,90,0.505,0.532,8,-3.526,1,0.0265,0.012,0.0,0.149,0.216,81.907,audio_features,spotify:track:3sW3oSbzsfecv9XoUdGs7h,https://api.spotify.com/v1/tracks/3sW3oSbzsfecv9XoUdGs7h,https://api.spotify.com/v1/audio-analysis/3sW3oSbzsfecv9XoUdGs7h,353253,4,48,Pop
4pfrrhvplbJZAIsfosGWQP,the 1,2020-08-18,Taylor Swift,75,0.78,0.361,0,-6.942,1,0.048,0.75,7.14e-06,0.108,0.163,139.902,audio_features,spotify:track:4pfrrhvplbJZAIsfosGWQP,https://api.spotify.com/v1/tracks/4pfrrhvplbJZAIsfosGWQP,https://api.spotify.com/v1/audio-analysis/4pfrrhvplbJZAIsfosGWQP,210240,4,49,Pop
6St9uiBUG4L7LvVNuUcm8a,Roll The Credits,2023-05-05,Danielle Ponder,46,0.522,0.702,6,-4.744,0,0.0423,0.00147,0.0226,0.154,0.262,150.255,audio_features,spotify:track:6St9uiBUG4L7LvVNuUcm8a,https://api.spotify.com/v1/tracks/6St9uiBUG4L7LvVNuUcm8a,https://api.spotify.com/v1/audio-analysis/6St9uiBUG4L7LvVNuUcm8a,253412,4,50,No Genre Data
